"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2010","1","10222","CLAUDIANO PINTO","8","DF","201"
"2010","1","10222","DARIO SALAZAR","7","MT","177"
"2010","1","10222","DR. MARCELO MACHADO","7","SP","3590"
"2010","1","10222","GERALDO PEREIRA","7","GO","1324"
"2010","1","10222","GLAUCIO","7","RN","896"
"2010","1","10222","JOSE APARECIDO","7","RJ","3111"
"2010","1","10222","MARCINHA","7","ES","3258"
"2010","1","10222","MILTON REIS","7","MG","345"
"2010","1","10222","OSWALDO NETO","7","PA","2209"
"2010","1","10222","PASTOR CLOVIS LOPES","7","PB","78"
"2010","1","10223","NILSON O ABENCOADO","7","RJ","3730"
"2010","1","10223","TONY OU TONY DO PROGRESSO","7","PA","4805"
"2010","1","10227","DENYS DA GUARDA","7","PA","332"
"2010","1","1023","DR WALTER FILHO","6","RJ","930"
"2010","1","1023","JOÃO MARANHÃO","6","PA","790"
"2010","1","1023","LINO","6","GO","433"
"2010","1","1023","OTONIEL LIMA","6","SP","95971"
"2010","1","10234","IRMAO NALDO","7","MA","551"
"2010","1","10234","MARIA DA AVON","7","RR","43"
"2010","1","10234","PAULO CABRAL VEINHO","7","RJ","437"
"2010","1","10235","CARLOS ALEXANDRE","7","PA","105"
"2010","1","1024","ROSANA STAR","6","SP","934"
"2010","1","1025","ALCIDES DE CARLI","6","RJ","10396"
"2010","1","10250","JULIO CESAR BRAVO","7","RS","691"
"2010","1","10250","LUTINHA OFICIAL DE JUSTIÇA","7","GO","975"
"2010","1","10250","SYLVIO SEGUNDO","7","PA","193"
"2010","1","10251","CORRETO","7","GO","2279"
"2010","1","10252","ALDA JUSTINA","7","BA","958"
"2010","1","10256","JOANA SANTOS","7","PA","134"
"2010","1","10256","MISSIONARIA JACIRA FERRAZ","7","RJ","3326"
"2010","1","1026","LEILA","6","RJ","421"
"2010","1","10261","RICARDO TADEU","7","RJ","12"
"2010","1","10267","ZE CARLOS DA JCAF","7","RR","886"
"2010","1","10270","NELSON TAVARES","7","GO","38"
"2010","1","10272","BENIGNO","7","RN","167"
"2010","1","10277","VALDECK SOARES","7","RJ","535"
"2010","1","10281","ROGERIO BARRETO","7","RJ","1515"
"2010","1","10284","PAULO CESAR","7","RJ","1653"
